iter,average value,advantage gap,greedy advantage gap
1,1.072370e+02,1.045590e+01,7.406186e-01
2,1.069780e+02,9.963257e+00,7.406186e-01
3,1.065127e+02,9.101239e+00,7.406186e-01
4,1.057433e+02,7.742411e+00,7.406186e-01
5,1.046148e+02,5.905356e+00,7.342011e-01
6,1.031859e+02,3.842728e+00,7.349204e-01
7,1.017138e+02,2.061897e+00,4.665455e-01
8,1.009842e+02,1.048003e+00,7.234839e-01
9,1.008052e+02,5.542401e-01,5.141910e-01
10,1.006502e+02,3.740300e-01,5.142045e-01
11,1.004704e+02,3.057466e-01,5.100533e-02
12,1.004035e+02,1.949696e-01,8.228969e-02
13,1.003341e+02,6.939824e-02,3.809394e-02
14,1.003019e+02,4.243193e-02,4.397430e-02
15,1.002913e+02,2.679475e-02,4.481349e-02
16,1.002829e+02,1.631103e-02,2.641998e-02
17,1.002739e+02,1.364416e-02,2.366687e-02
18,1.002581e+02,1.063906e-02,1.409030e-02
19,1.002498e+02,2.113635e-02,4.655395e-03
20,1.002441e+02,8.467430e-03,3.998449e-03
21,1.002385e+02,4.184996e-03,3.156000e-03
22,1.002350e+02,2.171417e-03,2.271241e-03
23,1.002337e+02,1.535365e-03,4.238074e-04
24,1.002328e+02,4.706041e-04,4.703392e-05
25,1.002326e+02,1.295225e-04,4.703494e-05
26,1.002325e+02,4.596609e-05,7.983298e-06
27,1.002325e+02,2.838360e-05,4.069584e-06
28,1.002325e+02,7.650687e-06,7.139355e-07
29,1.002324e+02,3.811108e-06,3.047390e-07
30,1.002324e+02,6.262392e-07,3.047390e-07
31,1.002324e+02,2.691186e-07,3.047390e-07
32,1.002324e+02,2.393909e-07,1.278977e-13
32,1.002324e+02,2.393909e-07,1.278977e-13
