iter,average value,advantage gap
1,3.984865e+03,2.397296e+01
2,-3.182061e+03,1.043570e+04
3,-3.307916e+03,1.042693e+04
4,-3.578933e+03,1.041650e+04
5,-4.161549e+03,1.040609e+04
6,-4.930415e+03,1.039568e+04
7,-5.757196e+03,1.045457e+04
8,-6.582577e+03,1.087905e+04
9,-7.578117e+03,1.142234e+04
10,-9.716801e+03,1.358227e+04
11,-1.111858e+04,1.444276e+04
12,-1.328689e+04,1.588976e+04
13,-1.464965e+04,1.637135e+04
14,-1.603819e+04,1.725441e+04
15,-1.774269e+04,1.867276e+04
16,-1.955161e+04,1.091394e-11
17,-1.955161e+04,7.275958e-12
17,-1.955161e+04,7.275958e-12
