iter,point value,point opt_lb,point uni_opt_lb,agg value,agg opt_lb,agg uni_opt_lb,true value,true opt_lb,true uni_opt_lb
1,1.372843e+01,-2.045195e+01,-1.456193e+02,1.372843e+01,-2.045195e+01,-1.456193e+02,0.000000e+00,0.000000e+00,0.000000e+00
2,1.326120e+01,-1.672949e+01,-1.365186e+02,1.349481e+01,-1.299932e+01,-1.101262e+02,0.000000e+00,0.000000e+00,0.000000e+00
3,1.295936e+01,-1.705539e+01,-1.099364e+02,1.331633e+01,-1.023582e+01,-9.683469e+01,0.000000e+00,0.000000e+00,0.000000e+00
4,1.249581e+01,-1.410472e+01,-1.295421e+02,1.311120e+01,-7.970479e+00,-8.192678e+01,0.000000e+00,0.000000e+00,0.000000e+00
5,1.216944e+01,-1.210112e+01,-9.788521e+01,1.292285e+01,-6.016373e+00,-8.382889e+01,0.000000e+00,0.000000e+00,0.000000e+00
6,1.195862e+01,-1.173829e+01,-1.448703e+02,1.276214e+01,-4.818519e+00,-7.437916e+01,0.000000e+00,0.000000e+00,0.000000e+00
7,1.181307e+01,-9.370778e+00,-1.041337e+02,1.262656e+01,-3.872518e+00,-7.069332e+01,0.000000e+00,0.000000e+00,0.000000e+00
8,1.173974e+01,-9.346977e+00,-1.673592e+02,1.251571e+01,-3.153865e+00,-7.089782e+01,0.000000e+00,0.000000e+00,0.000000e+00
9,1.135035e+01,-6.723089e+00,-9.300955e+01,1.238622e+01,-2.241915e+00,-6.613595e+01,0.000000e+00,0.000000e+00,0.000000e+00
10,1.123824e+01,-6.423726e+00,-9.131557e+01,1.227143e+01,-1.680317e+00,-6.331157e+01,0.000000e+00,0.000000e+00,0.000000e+00
11,1.117232e+01,-5.725758e+00,-9.639990e+01,1.217151e+01,-1.166917e+00,-5.573143e+01,0.000000e+00,0.000000e+00,0.000000e+00
12,1.086553e+01,-5.105808e+00,-9.048914e+01,1.206268e+01,-7.146087e-01,-5.381645e+01,0.000000e+00,0.000000e+00,0.000000e+00
13,1.084805e+01,-5.418455e+00,-8.614471e+01,1.196924e+01,-1.805813e-01,-5.252741e+01,0.000000e+00,0.000000e+00,0.000000e+00
14,1.072889e+01,-3.823323e+00,-7.582907e+01,1.188065e+01,2.606776e-01,-5.009531e+01,0.000000e+00,0.000000e+00,0.000000e+00
15,1.068493e+01,-3.181175e+00,-8.407382e+01,1.180093e+01,5.835346e-01,-4.865644e+01,0.000000e+00,0.000000e+00,0.000000e+00
