iter,nu_lb,t_mix
0,9.336863e-04,1.358495e+03
1,1.822460e-07,1.321629e+05
2,1.580676e-07,1.678294e+05
3,4.516444e-07,6.878082e+04
4,2.342061e-06,7.666305e+03
5,2.173282e-06,2.860259e+03
6,4.706699e-06,1.107422e+03
7,5.915784e-06,9.784814e+02
8,4.443887e-06,4.543891e+03
9,3.133861e-06,6.721797e+03
10,3.290297e-06,6.121830e+03
11,3.583768e-06,5.852730e+03
12,6.518765e-06,3.136747e+03
13,8.263845e-06,1.872732e+03
14,8.699554e-06,1.436207e+03
15,9.678457e-06,7.709433e+02
16,1.003834e-05,4.939870e+02
17,1.047576e-05,4.776041e+02
18,1.093876e-05,4.008384e+02
19,1.075560e-05,3.961608e+02
20,1.081019e-05,3.934263e+02
21,1.037967e-05,6.657344e+02
22,1.053944e-05,5.407700e+02
23,1.041680e-05,4.917271e+02
24,1.042956e-05,4.956939e+02
25,1.058122e-05,4.241146e+02
26,1.064037e-05,4.088264e+02
27,1.063931e-05,4.035751e+02
28,1.061879e-05,3.963518e+02
29,1.063457e-05,3.923673e+02
30,1.057183e-05,3.910495e+02
31,1.061990e-05,3.889010e+02
32,1.025039e-05,5.280883e+02
33,1.040827e-05,4.492482e+02
34,1.061195e-05,3.985546e+02
35,1.069259e-05,3.871173e+02
36,1.070639e-05,3.842066e+02
37,1.071253e-05,3.831442e+02
38,1.074991e-05,3.755100e+02
39,1.071606e-05,3.837087e+02
40,1.076376e-05,3.495603e+02
41,1.076696e-05,3.436840e+02
42,9.942291e-06,8.683281e+02
43,1.088137e-05,3.185417e+02
44,1.089317e-05,2.776834e+02
45,1.091513e-05,2.377836e+02
46,1.079667e-05,4.903486e+02
47,1.078871e-05,5.116255e+02
48,1.078589e-05,5.272230e+02
49,1.071299e-05,5.409394e+02
50,1.067548e-05,5.389576e+02
51,1.066288e-05,5.250270e+02
52,1.068033e-05,5.074698e+02
53,1.065750e-05,4.957798e+02
54,1.083630e-05,4.280299e+02
55,1.085119e-05,4.163030e+02
56,1.089694e-05,3.382013e+02
57,1.089722e-05,3.380110e+02
58,1.088062e-05,2.995010e+02
59,1.082734e-05,2.658619e+02
60,1.080411e-05,1.816842e+02
61,1.068482e-05,1.748995e+02
62,1.072582e-05,1.288149e+02
63,1.074195e-05,8.163437e+01
64,1.076052e-05,8.155338e+01
65,1.076100e-05,8.164847e+01
66,1.077944e-05,8.147399e+01
67,1.082992e-05,8.043239e+01
68,1.082398e-05,8.087416e+01
69,1.089681e-05,8.122355e+01
70,1.087653e-05,2.579244e+02
71,1.088385e-05,2.562538e+02
72,1.087192e-05,2.537046e+02
73,1.086249e-05,2.522788e+02
74,1.089680e-05,2.438447e+02
